kind,price,timestamp
sc2-micro, 0.867, 2021-12-18T22:02:55.188Z
sc2-small, 0.407, 2021-12-18T22:03:00.532Z
sc2-medium, 0.343, 2021-12-18T22:03:05.597Z
sc2-std-4, 0.204, 2021-12-18T22:03:15.722Z
sc2-std-8, 0.661, 2021-12-18T22:03:20.746Z
sc2-std-16, 0.49, 2021-12-18T22:03:25.800Z
sc2-micro, 0.791, 2021-12-18T22:11:30.981Z
sc2-small, 0.112, 2021-12-18T22:11:36.246Z
sc2-medium, 0.238, 2021-12-18T22:11:41.312Z
sc2-std-2, 0.503, 2021-12-18T22:11:46.381Z
sc2-micro, 0.726, 2021-12-18T22:41:55.687Z
sc2-small, 0.444, 2021-12-18T22:42:01.066Z
sc2-std-2, 0.779, 2021-12-18T22:42:11.196Z
